구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,3238,150.61919504643964,572140,567115,5025,61931,0.8782815394833433,10.824448561540882,0.5659453979795155,1530.0720212004987
강동구,1010,166.49076517150397,448471,444168,4303,53195,0.9594823299611347,11.86141355851326,0.22520965681170022,552.6665607839586
강북구,831,125.20325203252031,330704,327195,3509,54053,1.0610697179350719,16.34482800328995,0.2512821133097876,593.3376229302007
강서구,911,134.7938144329897,602104,595485,6619,71062,1.0993117468078604,11.802280004783226,0.1513027649708356,832.1236473131767
관악구,2109,149.29078014184398,525607,506851,18756,66952,3.568445625724163,12.738034310806363,0.401250363865017,455.72961174070883
광진구,878,53.22862129144852,372104,357215,14889,41441,4.001300711629007,11.136940210263797,0.23595553931159033,594.9659995309935
구로구,1884,64.97373029772329,449600,417551,32049,55705,7.128336298932385,12.389902135231317,0.4190391459074733,320.00731754497156
금천구,1348,100.0,254654,235386,19268,32279,7.566344922915014,12.675630463295295,0.5293457004405979,12.990590608212415
노원구,1566,188.929889298893,571212,567581,3631,70887,0.6356659173826881,12.40992836284952,0.27415390432974096,140.83795142062354
도봉구,825,246.6386554621849,350272,348220,2052,50510,0.5858304403435045,14.42022199890371,0.23553124429015168,622.3221657641213
동대문구,1870,74.76635514018692,370312,355069,15243,53460,4.116258722374646,14.436475188489705,0.5049795847825617,399.1388809247701
동작구,1302,139.33823529411765,413247,400997,12250,55231,2.9643288396527985,13.365130297376629,0.31506580810024026,219.29250432535173
마포구,980,212.1019108280255,390887,379892,10995,48303,2.812833376397782,12.357279725342618,0.2507118425529629,515.028482567049
서대문구,1254,48.5781990521327,325871,314194,11677,47653,3.58331977991291,14.623271171721324,0.3848148500480251,164.660788531369
서초구,2297,63.37126600284495,451477,447192,4285,50984,0.9491070419977097,11.292712585580219,0.5087745333649333,730.8025962193751
성동구,1327,81.78082191780823,307161,299259,7902,39262,2.5725922236221397,12.78222170132276,0.4320209922483649,69.68405118352257
성북구,1651,63.62735381565907,461617,450355,11262,64015,2.439684846961875,13.867556870739161,0.35765580557041876,72.89216774758665
송파구,1081,104.34782608695652,664946,657831,7115,71064,1.0700117001982117,10.687183620925609,0.16256959211725464,735.9377642780805
양천구,2482,34.67173087357569,481845,477739,4106,52063,0.8521412487418154,10.804926895578454,0.5151034046218183,880.132389924378
영등포구,1277,157.97979797979798,406779,370613,36166,51844,8.890822780920352,12.745004043964906,0.3139296768023915,236.69520143032923
용산구,2096,53.216374269005854,245102,230241,14861,35915,6.063190018849295,14.653083206175388,0.8551541807084397,772.2103551804535
은평구,2108,85.23725834797891,495937,491476,4461,71457,0.8995094134940527,14.408483335584963,0.4250539887122759,489.5799483046105
종로구,1619,248.92241379310346,161922,152737,9185,25091,5.672484282555799,15.495732513185361,0.9998641321129927,392.9134558001142
중구,1023,147.6997578692494,134409,125249,9160,20606,6.8150198275413105,15.330818620776881,0.7611097471151486,170.76981653279358
중랑구,916,79.96070726915521,415677,411005,4672,55914,1.1239496051020383,13.451309550444215,0.2203634071646976,608.1467786040939
